Nome,Setor,Bairro,Cidade,CEP,Endereço,Telefone,Estado,E-mail
"         Anjo da Guarda – Almirante Tamandaré        "," Setor Almirante Tamandaré"," Cachoeira"," Almirante Tamandaré"," 83.503-000"," Rua Antonio Jhonson, n° 4693"," (41) 3657-7488 / (41) 3657-7488"," Paraná"," paroquiaanjodaguardaadm@mitradecuritiba.org.br"
"         Nossa Senhora da Conceição – Alm. Tamandaré        "," Setor Almirante Tamandaré"," Centro"," Almirante Tamandaré"," 83.501-970"," Rua Bertolina Kendrik de Oliveira, nº 1222"," (41) 3657-1305 Fax: (41) 3657-1305"," Paraná"," conceicaoatt@mitradecuritiba.org.br"
"         Nossa Senhora das Graças – Barreirinha        "," Setor Almirante Tamandaré"," Barreirinha"," Curitiba"," 82.220-170"," Rua Carmelina Cavassin, n° 90"," (41) 3585-2221 Fax: (41) 3049-3827"," Paraná"," santagema@mitradecuritiba.org.br"
"         Nossa Senhora do Amparo – Rio Branco do Sul        "," Setor Almirante Tamandaré"," Centro"," Rio Branco do Sul"," 83.540-000"," Rua Manoel Pinto Ferro, nº 72"," (41) 3652-2305 Fax: (41) 3652-2329"," Paraná"," paroco302mitradecuritiba.org.br"
"         Sant’ana – Abranches        "," Setor Almirante Tamandaré"," Abranches"," Curitiba"," 82.130-080"," Rua Vitório João Brunor, nº 688"," (41) 3354-3637 Fax: (41) 3354-3637"," Paraná"," santana@mitradecuritiba.org.br"
"         São João Batista        "," Setor Almirante Tamandaré"," Jardim Marize"," Almirante Tamandaré"," 83.507-270"," Av. Vereador Wadislau Bugalski, nº 4880"," (41) 3657-1144"," Paraná"," lamenha@mitradecuritiba.org.br"
"         São Pedro Apóstolo – Itaperuçu        "," Setor Almirante Tamandaré"," Centro"," Itaperuçu"," 83.560-000"," Rua São Pedro Apóstolo, nº 59"," (41) 3603-3312 Fax: (41) 3603-3312"," Paraná"," pspi@mitradecuritiba.org.br"
"         Menino Deus        "," Setor Boqueirão"," Guabirotuba"," Curitiba"," 81.510-620"," Rua Arlindo Araujo Sobrinho, nº 310"," (41) 3296-3622 Fax: (41) 3296-3622"," Paraná"," meninodeus@mitradecuritiba.org.br"
"         Nossa Senhora da Paz – Boqueirão        "," Setor Boqueirão"," Boqueirão"," Curitiba"," 81.730-370"," Av. Nossa Senhora da Paz, 1276"," (41) 3042-7117 Fax: (41) 3042-7117"," Paraná"," nspazboqueirao@mitradecuritiba.org.br"
"         Nossa Senhora da Visitação        "," Setor Boqueirão"," Boqueirão"," Curitiba"," 81.750-440"," Rua Diogo Mugiatti, nº 2976"," (41) 3072-0500"," Paraná"," visitacao@mitradecuritiba.org.br"
"         Nossa Senhora das Vitórias – Boqueirão        "," Setor Boqueirão"," Boqueirão"," Curitiba"," 81.670-400"," Rua Cel. Luiz José dos Santos, nº 2515"," (41) 3276-3037 Fax: (41) 3276-3037"," Paraná"," vitorias@mitradecuritiba.org.br"
"         Nossa Senhora do Carmo – Boqueirão        "," Setor Boqueirão"," Boqueirão"," Curitiba"," 81.670-000"," Rua Marechal Floriano Peixoto, nº 8520"," (41) 3276-1936 Fax: (41) 3276-1936"," Paraná"," santuariodocarmo@mitradecuritiba.org.br"
